VISITING,HOME,WEEK,DATE,TIME,TV,Bye
Packers,Cardinals,16,12/27/15,4:25 PM ET ,,
Steelers,Ravens,16,12/27/15,8:30 PM ET ,,
Bengals,Broncos,16,12/28/15,8:30 PM ET ,,
Jets,Bills,17,1/3/16,1:00 PM ET ,,
Patriots,Dolphins,17,1/3/16,1:00 PM ET ,,
Buccaneers,Panthers,17,1/3/16,1:00 PM ET ,,
Saints,Falcons,17,1/3/16,1:00 PM ET ,,
Ravens,Bengals,17,1/3/16,1:00 PM ET ,,
Steelers,Browns,17,1/3/16,1:00 PM ET ,,
Jaguars,Texans,17,1/3/16,1:00 PM ET ,,
Titans,Colts,17,1/3/16,1:00 PM ET ,,
Raiders,Chiefs,17,1/3/16,1:00 PM ET ,,
Redskins,Cowboys,17,1/3/16,1:00 PM ET ,,
Eagles,Giants,17,1/3/16,1:00 PM ET ,,
Lions,Bears,17,1/3/16,1:00 PM ET ,,
Vikings,Packers,17,1/3/16,1:00 PM ET ,,
Chargers,Broncos,17,1/3/16,4:25 PM ET ,,
Seahawks,Cardinals,17,1/3/16,4:25 PM ET ,,
Rams,49ers,17,1/3/16,4:25 PM ET ,,
